Region,Year,Value,Category
Africa,2007,627335700,forest_area
Africa,2006,631375900,forest_area
Africa,2005,635411600,forest_area
Africa,2004,639452100,forest_area
Africa,2003,643492100,forest_area
Africa,2002,647532700,forest_area
Africa,2001,651572900,forest_area
Africa,2000,655613100,forest_area
Africa,1999,659988000,forest_area
Africa,1998,664362800,forest_area
Africa,1997,668737300,forest_area
Africa,1996,673112100,forest_area
Africa,1995,677487000,forest_area
Africa,1994,681861400,forest_area
Africa,1993,686236600,forest_area
Africa,1992,690611200,forest_area
Africa,1991,694985800,forest_area
Africa,1990,699360700,forest_area
Americas,2007,1528150800,forest_area
Americas,2006,1532735000,forest_area
Americas,2005,1537389100,forest_area
Americas,2004,1541973200,forest_area
Americas,2003,1546557400,forest_area
Americas,2002,1551141400,forest_area
Americas,2001,1555725800,forest_area
Americas,2000,1560309800,forest_area
Americas,1999,1564439800,forest_area
Americas,1998,1568569500,forest_area
Americas,1997,1572699400,forest_area
Americas,1996,1576829100,forest_area
Americas,1995,1580959200,forest_area
Americas,1994,1585088800,forest_area
Americas,1993,1589218800,forest_area
Americas,1992,1593348500,forest_area
Americas,1991,1597478400,forest_area
Americas,1990,1601608300,forest_area
Asia,2007,573582600,forest_area
Asia,2006,572579800,forest_area
Asia,2005,571577000,forest_area
Asia,2004,570573900,forest_area
Asia,2003,569571100,forest_area
Asia,2002,568568000,forest_area
Asia,2001,567564800,forest_area
Asia,2000,566562300,forest_area
Asia,1999,567354800,forest_area
Asia,1998,568147200,forest_area
Asia,1997,568939600,forest_area
Asia,1996,569732100,forest_area
Asia,1995,570515800,forest_area
Asia,1994,571308300,forest_area
Asia,1993,572100800,forest_area
Asia,1992,572893200,forest_area
Asia,1991,557796200,forest_area
Asia,1990,558598000,forest_area
Australia and New Zealand,2007,171633400,forest_area
Australia and New Zealand,2006,171810200,forest_area
Australia and New Zealand,2005,171987000,forest_area
Australia and New Zealand,2004,172163800,forest_area
Australia and New Zealand,2003,172340600,forest_area
Australia and New Zealand,2002,172517400,forest_area
Australia and New Zealand,2001,172694200,forest_area
Australia and New Zealand,2000,172871000,forest_area
Australia and New Zealand,1999,173146300,forest_area
Australia and New Zealand,1998,173421600,forest_area
Australia and New Zealand,1997,173696900,forest_area
Australia and New Zealand,1996,173972200,forest_area
Australia and New Zealand,1995,174247500,forest_area
Australia and New Zealand,1994,174522800,forest_area
Australia and New Zealand,1993,174798100,forest_area
Australia and New Zealand,1992,175073400,forest_area
Australia and New Zealand,1991,175348700,forest_area
Australia and New Zealand,1990,175624000,forest_area
Caribbean,2007,6080300,forest_area
Caribbean,2006,6026700,forest_area
Caribbean,2005,5973100,forest_area
Caribbean,2004,5919500,forest_area
Caribbean,2003,5865900,forest_area
Caribbean,2002,5812200,forest_area
Caribbean,2001,5758800,forest_area
Caribbean,2000,5705100,forest_area
Caribbean,1999,5669600,forest_area
Caribbean,1998,5633900,forest_area
Caribbean,1997,5598300,forest_area
Caribbean,1996,5562600,forest_area
Caribbean,1995,5527200,forest_area
Caribbean,1994,5491400,forest_area
Caribbean,1993,5455900,forest_area
Caribbean,1992,5420200,forest_area
Caribbean,1991,5384600,forest_area
Caribbean,1990,5349100,forest_area
Central America,2007,85487800,forest_area
Central America,2006,86033400,forest_area
Central America,2005,86649000,forest_area
Central America,2004,87194600,forest_area
Central America,2003,87740200,forest_area
Central America,2002,88285800,forest_area
Central America,2001,88831400,forest_area
Central America,2000,89377000,forest_area
Central America,1999,90104800,forest_area
Central America,1998,90832600,forest_area
Central America,1997,91560400,forest_area
Central America,1996,92288200,forest_area
Central America,1995,93016000,forest_area
Central America,1994,93743800,forest_area
Central America,1993,94471600,forest_area
Central America,1992,95199400,forest_area
Central America,1991,95927200,forest_area
Central America,1990,96655000,forest_area
