Region,Year,Value,Category
Afghanistan,2007,38661000,agricultural_area
Afghanistan,2006,38659000,agricultural_area
Afghanistan,2005,38515000,agricultural_area
Afghanistan,2004,38064000,agricultural_area
Afghanistan,2003,38899000,agricultural_area
Afghanistan,2002,37514000,agricultural_area
Afghanistan,2001,37564000,agricultural_area
Afghanistan,2000,37838000,agricultural_area
Afghanistan,1999,37980000,agricultural_area
Afghanistan,1998,38237000,agricultural_area
Afghanistan,1997,38160000,agricultural_area
Afghanistan,1996,38117000,agricultural_area
Afghanistan,1995,38161000,agricultural_area
Afghanistan,1994,38173000,agricultural_area
Afghanistan,1993,38044000,agricultural_area
Afghanistan,1992,38030000,agricultural_area
Afghanistan,1991,38030000,agricultural_area
Afghanistan,1990,38040000,agricultural_area
Afghanistan,1989,38040000,agricultural_area
Afghanistan,1988,38040000,agricultural_area
Afghanistan,1987,38045000,agricultural_area
Afghanistan,1986,38054000,agricultural_area
Afghanistan,1985,38054000,agricultural_area
Afghanistan,1984,38054000,agricultural_area
Afghanistan,1983,38054000,agricultural_area
Afghanistan,1982,38054000,agricultural_area
Afghanistan,1981,38053000,agricultural_area
Afghanistan,1980,38049000,agricultural_area
Afghanistan,1979,38049000,agricultural_area
Afghanistan,1978,38050000,agricultural_area
Afghanistan,1977,38050000,agricultural_area
Afghanistan,1976,38048000,agricultural_area
Afghanistan,1975,38048000,agricultural_area
Afghanistan,1974,38048000,agricultural_area
Afghanistan,1973,38048000,agricultural_area
Afghanistan,1972,38046000,agricultural_area
Afghanistan,1971,38036000,agricultural_area
Afghanistan,1970,38006000,agricultural_area
Afghanistan,1969,37996000,agricultural_area
Afghanistan,1968,37980000,agricultural_area
Afghanistan,1967,37979000,agricultural_area
Afghanistan,1966,37913000,agricultural_area
Afghanistan,1965,37875000,agricultural_area
Afghanistan,1964,37873000,agricultural_area
Afghanistan,1963,37810000,agricultural_area
Afghanistan,1962,37760000,agricultural_area
Afghanistan,1961,37700000,agricultural_area
Albania,2007,1119000,agricultural_area
Albania,2006,1120000,agricultural_area
Albania,2005,1077000,agricultural_area
Albania,2004,1122000,agricultural_area
Albania,2003,1121000,agricultural_area
Albania,2002,1140000,agricultural_area
Albania,2001,1139000,agricultural_area
Albania,2000,1144000,agricultural_area
Albania,1999,1145000,agricultural_area
Albania,1998,1139000,agricultural_area
Albania,1997,1135000,agricultural_area
Albania,1996,1131000,agricultural_area
Albania,1995,1127000,agricultural_area
Albania,1994,1126000,agricultural_area
Albania,1993,1126000,agricultural_area
Albania,1992,1127000,agricultural_area
Albania,1991,1127000,agricultural_area
Albania,1990,1121000,agricultural_area
Albania,1989,1110000,agricultural_area
Albania,1988,1117000,agricultural_area
Albania,1987,1111000,agricultural_area
Albania,1986,1111000,agricultural_area
Albania,1985,1112000,agricultural_area
Albania,1984,1113000,agricultural_area
Albania,1983,1110000,agricultural_area
Albania,1982,1114000,agricultural_area
Albania,1981,1116000,agricultural_area
