Region,Year,Value,Category
Africa,2007,1157486300,agricultural_area
Africa,2006,1155933300,agricultural_area
Africa,2005,1154504500,agricultural_area
Africa,2004,1143632000,agricultural_area
Africa,2003,1139737700,agricultural_area
Africa,2002,1133925000,agricultural_area
Africa,2001,1130835000,agricultural_area
Africa,2000,1126222000,agricultural_area
Africa,1999,1123303200,agricultural_area
Africa,1998,1119806400,agricultural_area
Africa,1997,1114314600,agricultural_area
Africa,1996,1110956800,agricultural_area
Africa,1995,1108658000,agricultural_area
Africa,1994,1103534400,agricultural_area
Africa,1993,1097588900,agricultural_area
Africa,1992,1110184300,agricultural_area
Africa,1991,1105605700,agricultural_area
Africa,1990,1102549100,agricultural_area
Africa,1989,1099626600,agricultural_area
Africa,1988,1095703000,agricultural_area
Africa,1987,1090618000,agricultural_area
Africa,1986,1087779000,agricultural_area
Africa,1985,1083213000,agricultural_area
Africa,1984,1078835000,agricultural_area
Africa,1983,1077735000,agricultural_area
Africa,1982,1075835000,agricultural_area
Africa,1981,1074660000,agricultural_area
Africa,1980,1078863000,agricultural_area
Africa,1979,1077048000,agricultural_area
Africa,1978,1076354000,agricultural_area
Africa,1977,1074128000,agricultural_area
Africa,1976,1072966000,agricultural_area
Africa,1975,1071347000,agricultural_area
Africa,1974,1070168000,agricultural_area
Africa,1973,1069994000,agricultural_area
Africa,1972,1070305000,agricultural_area
Africa,1971,1070081000,agricultural_area
Africa,1970,1064926000,agricultural_area
Africa,1969,1063981000,agricultural_area
Africa,1968,1062298000,agricultural_area
Africa,1967,1060400000,agricultural_area
Africa,1966,1059335000,agricultural_area
Africa,1965,1056163000,agricultural_area
Africa,1964,1055312000,agricultural_area
Africa,1963,1055046000,agricultural_area
Africa,1962,1054163000,agricultural_area
Africa,1961,1054186000,agricultural_area
Americas,2007,1197258000,agricultural_area
Americas,2006,1195982400,agricultural_area
Americas,2005,1198138800,agricultural_area
Americas,2004,1199445500,agricultural_area
Americas,2003,1198476600,agricultural_area
Americas,2002,1196717100,agricultural_area
Americas,2001,1195889000,agricultural_area
Americas,2000,1196521700,agricultural_area
Americas,1999,1196363900,agricultural_area
Americas,1998,1195616500,agricultural_area
Americas,1997,1194297000,agricultural_area
Americas,1996,1194615000,agricultural_area
Americas,1995,1194728000,agricultural_area
Americas,1994,1187782000,agricultural_area
Americas,1993,1188531000,agricultural_area
Americas,1992,1186927000,agricultural_area
Americas,1991,1185238000,agricultural_area
Americas,1990,1180922000,agricultural_area
Americas,1989,1175501000,agricultural_area
Americas,1988,1172903000,agricultural_area
Americas,1987,1170227000,agricultural_area
Americas,1986,1171737000,agricultural_area
Americas,1985,1165454000,agricultural_area
Americas,1984,1162297000,agricultural_area
Americas,1983,1158810000,agricultural_area
Americas,1982,1156879000,agricultural_area
Americas,1981,1149007000,agricultural_area
Americas,1980,1146706000,agricultural_area
Americas,1979,1144242000,agricultural_area
Americas,1978,1141059000,agricultural_area
Americas,1977,1142166000,agricultural_area
Americas,1976,1137957000,agricultural_area
Americas,1975,1133483000,agricultural_area
Americas,1974,1128414000,agricultural_area
Americas,1973,1124016000,agricultural_area
Americas,1972,1120904000,agricultural_area
Americas,1971,1116883000,agricultural_area
Americas,1970,1110922000,agricultural_area
Americas,1969,1109829000,agricultural_area
Americas,1968,1101133000,agricultural_area
Americas,1967,1095184000,agricultural_area
Americas,1966,1092007000,agricultural_area
Americas,1965,1087918000,agricultural_area
Americas,1964,1086764000,agricultural_area
Americas,1963,1084151000,agricultural_area
Americas,1962,1081226000,agricultural_area
Americas,1961,1079024000,agricultural_area
Asia,2007,1662868700,agricultural_area
Asia,2006,1660796800,agricultural_area
Asia,2005,1656476200,agricultural_area
Asia,2004,1669633500,agricultural_area
Asia,2003,1665383500,agricultural_area
Asia,2002,1676268600,agricultural_area
Asia,2001,1683486000,agricultural_area
Asia,2000,1678067600,agricultural_area
Asia,1999,1674962700,agricultural_area
Asia,1998,1658040500,agricultural_area
Asia,1997,1655232900,agricultural_area
Asia,1996,1656381800,agricultural_area
Asia,1995,1657916900,agricultural_area
Asia,1994,1664314400,agricultural_area
Asia,1993,1663956800,agricultural_area
Asia,1992,1615609100,agricultural_area
Asia,1991,1313201600,agricultural_area
Asia,1990,1313716200,agricultural_area
Asia,1989,1307379800,agricultural_area
Asia,1988,1293067000,agricultural_area
Asia,1987,1276007000,agricultural_area
Asia,1986,1256350800,agricultural_area
Asia,1985,1238787800,agricultural_area
Asia,1984,1211518100,agricultural_area
Asia,1983,1197413000,agricultural_area
Asia,1982,1175183100,agricultural_area
Asia,1981,1167607600,agricultural_area
Asia,1980,1158599000,agricultural_area
Asia,1979,1152849000,agricultural_area
Asia,1978,1144780000,agricultural_area
Asia,1977,1138977000,agricultural_area
Asia,1976,1131526000,agricultural_area
Asia,1975,1140230000,agricultural_area
Asia,1974,1135150000,agricultural_area
Asia,1973,1127004000,agricultural_area
Asia,1972,1118325000,agricultural_area
Asia,1971,1110119000,agricultural_area
Asia,1970,1106208000,agricultural_area
Asia,1969,1100997000,agricultural_area
Asia,1968,1095709000,agricultural_area
Asia,1967,1091117000,agricultural_area
Asia,1966,1087099000,agricultural_area
Asia,1965,1082625000,agricultural_area
Asia,1964,1077708000,agricultural_area
Asia,1963,1072141000,agricultural_area
Asia,1962,1067531000,agricultural_area
Asia,1961,1062177000,agricultural_area
Australia and New Zealand,2007,437736000,agricultural_area
Australia and New Zealand,2006,447162000,agricultural_area
Australia and New Zealand,2005,457791000,agricultural_area
Australia and New Zealand,2004,452865000,agricultural_area
Australia and New Zealand,2003,452140000,agricultural_area
Australia and New Zealand,2002,459914000,agricultural_area
Australia and New Zealand,2001,471119000,agricultural_area
Australia and New Zealand,2000,470914000,agricultural_area
Australia and New Zealand,1999,468633000,agricultural_area
Australia and New Zealand,1998,478690000,agricultural_area
Australia and New Zealand,1997,477104000,agricultural_area
Australia and New Zealand,1996,480126000,agricultural_area
Australia and New Zealand,1995,478324000,agricultural_area
Australia and New Zealand,1994,484217000,agricultural_area
Australia and New Zealand,1993,476206000,agricultural_area
Australia and New Zealand,1992,482139000,agricultural_area
Australia and New Zealand,1991,479094000,agricultural_area
Australia and New Zealand,1990,480664000,agricultural_area
Australia and New Zealand,1989,483334000,agricultural_area
Australia and New Zealand,1988,488619000,agricultural_area
Australia and New Zealand,1987,487491000,agricultural_area
Australia and New Zealand,1986,487395000,agricultural_area
Australia and New Zealand,1985,489407000,agricultural_area
Australia and New Zealand,1984,489619000,agricultural_area
Australia and New Zealand,1983,487856000,agricultural_area
Australia and New Zealand,1982,494811000,agricultural_area
Australia and New Zealand,1981,500074000,agricultural_area
Australia and New Zealand,1980,499734000,agricultural_area
Australia and New Zealand,1979,497162000,agricultural_area
Australia and New Zealand,1978,493328000,agricultural_area
Australia and New Zealand,1977,495223000,agricultural_area
Australia and New Zealand,1976,504489000,agricultural_area
Australia and New Zealand,1975,503217000,agricultural_area
Australia and New Zealand,1974,503727000,agricultural_area
Australia and New Zealand,1973,503040000,agricultural_area
Australia and New Zealand,1972,500519000,agricultural_area
Australia and New Zealand,1971,498924000,agricultural_area
Australia and New Zealand,1970,497465000,agricultural_area
Australia and New Zealand,1969,494627000,agricultural_area
Australia and New Zealand,1968,490662000,agricultural_area
Australia and New Zealand,1967,492573000,agricultural_area
Australia and New Zealand,1966,489983000,agricultural_area
