Region,Year,ARatio
Africa,2007,39
Africa,2006,39
Africa,2005,38.9
Africa,2004,38.6
Africa,2003,38.4
Africa,2002,38.3
Africa,2001,38.1
Africa,2000,38
Africa,1999,37.9
Africa,1998,37.8
Africa,1997,37.6
Africa,1996,37.5
Africa,1995,37.4
Africa,1994,37.2
Africa,1993,37
Africa,1992,37.5
Africa,1991,37.3
Africa,1990,37.2
Africa,1989,37.1
Africa,1988,37
Africa,1987,36.8
Africa,1986,36.7
Africa,1985,36.5
Africa,1984,36.4
Africa,1983,36.4
Africa,1982,36.3
Africa,1981,36.3
Africa,1980,36.4
Africa,1979,36.3
Africa,1978,36.3
Africa,1977,36.2
Africa,1976,36.2
Africa,1975,36.1
Africa,1974,36.1
Africa,1973,36.1
Africa,1972,36.1
Africa,1971,36.1
Africa,1970,35.9
Africa,1969,35.9
Africa,1968,35.8
Africa,1967,35.8
Africa,1966,35.7
Africa,1965,35.6
Africa,1964,35.6
Africa,1963,35.6
Africa,1962,35.6
Africa,1961,35.6
Americas,2007,30.7
Americas,2006,30.7
Americas,2005,30.8
Americas,2004,30.8
Americas,2003,30.8
Americas,2002,30.7
Americas,2001,30.7
Americas,2000,30.7
Americas,1999,30.7
Americas,1998,30.7
Americas,1997,30.7
Americas,1996,30.7
Americas,1995,30.7
Americas,1994,30.6
Americas,1993,30.6
Americas,1992,30.5
Americas,1991,30.5
Americas,1990,30.4
Americas,1989,30.2
Americas,1988,30.2
Americas,1987,30.1
Americas,1986,30.1
Americas,1985,30
Americas,1984,29.9
Americas,1983,29.8
Americas,1982,29.8
Americas,1981,29.6
Americas,1980,29.5
Americas,1979,29.4
Americas,1978,29.4
Americas,1977,29.4
Americas,1976,29.3
Americas,1975,29.2
Americas,1974,29
Americas,1973,28.9
Americas,1972,28.8
Americas,1971,28.7
Americas,1970,28.6
Americas,1969,28.6
Americas,1968,28.3
Americas,1967,28.2
Americas,1966,28.1
Americas,1965,28
Americas,1964,28
Americas,1963,27.9
Americas,1962,27.8
Americas,1961,27.8
Asia,2007,53.7
Asia,2006,53.7
Asia,2005,53.5
Asia,2004,54
Asia,2003,53.8
Asia,2002,54.2
Asia,2001,54.4
Asia,2000,54.2
Asia,1999,54.1
Asia,1998,53.6
Asia,1997,53.5
Asia,1996,53.5
Asia,1995,53.6
Asia,1994,53.8
Asia,1993,53.7
Asia,1992,52.2
Asia,1991,48.9
Asia,1990,48.9
Asia,1989,48.7
Asia,1988,48.2
Asia,1987,47.5
Asia,1986,46.8
Asia,1985,46.1
Asia,1984,45.1
Asia,1983,44.6
Asia,1982,43.8
Asia,1981,43.5
Asia,1980,43.1
Asia,1979,42.9
Asia,1978,42.6
Asia,1977,42.4
Asia,1976,42.1
Asia,1975,42.5
Asia,1974,42.3
Asia,1973,42
Asia,1972,41.6
Asia,1971,41.3
Asia,1970,41.2
Asia,1969,41
Asia,1968,40.8
Asia,1967,40.6
Asia,1966,40.5
Asia,1965,40.3
Asia,1964,40.1
Asia,1963,39.9
Asia,1962,39.8
Asia,1961,39.6
Australia and New Zealand,2007,55.1
Australia and New Zealand,2006,56.2
Australia and New Zealand,2005,57.6
Australia and New Zealand,2004,57
Australia and New Zealand,2003,56.9
Australia and New Zealand,2002,57.9
Australia and New Zealand,2001,59.3
Australia and New Zealand,2000,59.2
Australia and New Zealand,1999,58.9
Australia and New Zealand,1998,60.2
Australia and New Zealand,1997,60
Australia and New Zealand,1996,60.4
Australia and New Zealand,1995,60.2
Australia and New Zealand,1994,60.9
Australia and New Zealand,1993,59.9
Australia and New Zealand,1992,60.6
Australia and New Zealand,1991,60.3
Australia and New Zealand,1990,60.5
Australia and New Zealand,1989,60.8
Australia and New Zealand,1988,61.5
Australia and New Zealand,1987,61.3
Australia and New Zealand,1986,61.3
Australia and New Zealand,1985,61.6
Australia and New Zealand,1984,61.6
Australia and New Zealand,1983,61.4
Australia and New Zealand,1982,62.2
Australia and New Zealand,1981,62.9
Australia and New Zealand,1980,62.9
Australia and New Zealand,1979,62.5
Australia and New Zealand,1978,62.1
Australia and New Zealand,1977,62.3
Australia and New Zealand,1976,63.5
Australia and New Zealand,1975,63.3
Australia and New Zealand,1974,63.4
Australia and New Zealand,1973,63.3
Australia and New Zealand,1972,63
Australia and New Zealand,1971,62.8
Australia and New Zealand,1970,62.6
Australia and New Zealand,1969,62.2
Australia and New Zealand,1968,61.7
Australia and New Zealand,1967,62
Australia and New Zealand,1966,61.6
Australia and New Zealand,1965,61.5
Australia and New Zealand,1964,61
Australia and New Zealand,1963,60.7
Australia and New Zealand,1962,60.3
Australia and New Zealand,1961,60
Caribbean,2007,51.4
Caribbean,2006,51.5
Caribbean,2005,51.6
Caribbean,2004,51.2
Caribbean,2003,51.7
Caribbean,2002,51.8
Caribbean,2001,51.9
Caribbean,2000,51.6
