Region,Year,FRatio
Afghanistan,2007,1.2
Afghanistan,2006,1.3
Afghanistan,2005,1.3
Afghanistan,2004,1.4
Afghanistan,2003,1.4
Afghanistan,2002,1.5
Afghanistan,2001,1.5
Afghanistan,2000,1.6
Afghanistan,1999,1.6
Afghanistan,1998,1.6
Afghanistan,1997,1.7
Afghanistan,1996,1.7
Afghanistan,1995,1.8
Afghanistan,1994,1.8
Afghanistan,1993,1.9
Afghanistan,1992,1.9
Afghanistan,1991,2
Afghanistan,1990,2
Albania,2007,29.3
Albania,2006,29.2
Albania,2005,29
Albania,2004,28.8
Albania,2003,28.6
Albania,2002,28.4
Albania,2001,28.2
Albania,2000,28.1
Albania,1999,28.1
Albania,1998,28.2
Albania,1997,28.3
Albania,1996,28.4
Albania,1995,28.4
Albania,1994,28.5
Albania,1993,28.6
Albania,1992,28.6
Albania,1991,28.7
Albania,1990,28.8
Algeria,2007,1
Algeria,2006,1
Algeria,2005,1
Algeria,2004,0.9
Algeria,2003,0.9
Algeria,2002,0.9
Algeria,2001,0.9
Algeria,2000,0.9
Algeria,1999,0.9
Algeria,1998,0.9
Algeria,1997,0.9
Algeria,1996,0.8
Algeria,1995,0.8
Algeria,1994,0.8
Algeria,1993,0.8
Algeria,1992,0.8
Algeria,1991,0.8
Algeria,1990,0.8
American Samoa,2007,89
American Samoa,2006,89
American Samoa,2005,89.5
American Samoa,2004,89.5
American Samoa,2003,90
American Samoa,2002,90
American Samoa,2001,90
American Samoa,2000,90.5
American Samoa,1999,90.5
American Samoa,1998,90.5
American Samoa,1997,91
American Samoa,1996,91
American Samoa,1995,91
American Samoa,1994,91.5
American Samoa,1993,91.5
American Samoa,1992,91.5
American Samoa,1991,92
American Samoa,1990,92
Andorra,2007,34
Andorra,2006,34
Andorra,2005,34
Andorra,2004,34
Andorra,2003,34
Andorra,2002,34
Andorra,2001,34
Andorra,2000,34
Andorra,1999,34
Andorra,1998,34
Andorra,1997,34
Andorra,1996,34
Andorra,1995,34
Andorra,1994,34
Andorra,1993,34
Andorra,1992,34
Andorra,1991,34
Andorra,1990,34
Angola,2007,47.2
Angola,2006,47.3
Angola,2005,47.4
Angola,2004,47.5
Angola,2003,47.6
Angola,2002,47.7
Angola,2001,47.8
Angola,2000,47.9
Angola,1999,48
Angola,1998,48.1
Angola,1997,48.2
Angola,1996,48.3
Angola,1995,48.4
Angola,1994,48.5
Angola,1993,48.6
Angola,1992,48.7
Angola,1991,48.8
Angola,1990,48.9
Anguilla,2007,61.1
Anguilla,2006,61.1
Anguilla,2005,61.1
Anguilla,2004,61.1
Anguilla,2003,61.1
Anguilla,2002,61.1
Anguilla,2001,61.1
Anguilla,2000,61.1
Anguilla,1999,61.1
Anguilla,1998,61.1
Anguilla,1997,61.1
Anguilla,1996,61.1
Anguilla,1995,61.1
Anguilla,1994,61.1
Anguilla,1993,61.1
Anguilla,1992,61.1
Anguilla,1991,61.1
Anguilla,1990,61.1
Antigua and Barbuda,2007,21.4
Antigua and Barbuda,2006,21.4
Antigua and Barbuda,2005,21.4
Antigua and Barbuda,2004,21.4
Antigua and Barbuda,2003,21.4
Antigua and Barbuda,2002,21.4
Antigua and Barbuda,2001,21.4
Antigua and Barbuda,2000,21.4
Antigua and Barbuda,1999,21.4
Antigua and Barbuda,1998,21.4
Antigua and Barbuda,1997,21.4
Antigua and Barbuda,1996,21.4
Antigua and Barbuda,1995,21.4
Antigua and Barbuda,1994,21.4
Antigua and Barbuda,1993,21.4
Antigua and Barbuda,1992,21.4
Antigua and Barbuda,1991,21.4
Antigua and Barbuda,1990,21.4
Argentina,2007,12
Argentina,2006,12
Argentina,2005,12.1
Argentina,2004,12.1
Argentina,2003,12.2
Argentina,2002,12.2
Argentina,2001,12.3
Argentina,2000,12.3
Argentina,1999,12.4
Argentina,1998,12.4
Argentina,1997,12.5
Argentina,1996,12.6
Argentina,1995,12.6
Argentina,1994,12.7
Argentina,1993,12.7
Argentina,1992,12.8
Argentina,1991,12.8
Argentina,1990,12.9
Armenia,2007,9.7
Armenia,2006,9.9
Armenia,2005,10
Armenia,2004,10.2
Armenia,2003,10.3
Armenia,2002,10.5
Armenia,2001,10.7
Armenia,2000,10.8
Armenia,1999,11
Armenia,1998,11.1
Armenia,1997,11.3
Armenia,1996,11.4
Armenia,1995,11.5
Armenia,1994,11.7
Armenia,1993,11.8
Armenia,1992,12
Aruba,2007,2.2
Aruba,2006,2.2
Aruba,2005,2.2
Aruba,2004,2.2
Aruba,2003,2.2
Aruba,2002,2.2
Aruba,2001,2.2
Aruba,2000,2.2
Aruba,1999,2.2
Aruba,1998,2.2
Aruba,1997,2.2
Aruba,1996,2.2
Aruba,1995,2.2
Aruba,1994,2.2
Aruba,1993,2.2
Aruba,1992,2.2
