Region,Year,FRatio
Africa,2007,21.2
Africa,2006,21.3
Africa,2005,21.4
Africa,2004,21.6
Africa,2003,21.7
Africa,2002,21.8
Africa,2001,22
Africa,2000,22.1
Africa,1999,22.3
Africa,1998,22.4
Africa,1997,22.6
Africa,1996,22.7
Africa,1995,22.9
Africa,1994,23
Africa,1993,23.1
Africa,1992,23.3
Africa,1991,23.4
Africa,1990,23.6
Americas,2007,39.2
Americas,2006,39.4
Americas,2005,39.5
Americas,2004,39.6
Americas,2003,39.7
Americas,2002,39.8
Americas,2001,39.9
Americas,2000,40.1
Americas,1999,40.2
Americas,1998,40.3
Americas,1997,40.4
Americas,1996,40.6
Americas,1995,40.7
Americas,1994,40.8
Americas,1993,40.9
Americas,1992,41
Americas,1991,41.1
Americas,1990,41.2
Asia,2007,18.5
Asia,2006,18.5
Asia,2005,18.5
Asia,2004,18.4
Asia,2003,18.4
Asia,2002,18.4
Asia,2001,18.3
Asia,2000,18.3
Asia,1999,18.3
Asia,1998,18.4
Asia,1997,18.4
Asia,1996,18.4
Asia,1995,18.4
Asia,1994,18.5
Asia,1993,18.5
Asia,1992,18.5
Asia,1991,20.8
Asia,1990,20.8
Australia and New Zealand,2007,21.6
Australia and New Zealand,2006,21.6
Australia and New Zealand,2005,21.6
Australia and New Zealand,2004,21.7
Australia and New Zealand,2003,21.7
Australia and New Zealand,2002,21.7
Australia and New Zealand,2001,21.7
Australia and New Zealand,2000,21.7
Australia and New Zealand,1999,21.8
Australia and New Zealand,1998,21.8
Australia and New Zealand,1997,21.8
Australia and New Zealand,1996,21.9
Australia and New Zealand,1995,21.9
Australia and New Zealand,1994,22
Australia and New Zealand,1993,22
Australia and New Zealand,1992,22
Australia and New Zealand,1991,22.1
Australia and New Zealand,1990,22.1
Caribbean,2007,26.5
Caribbean,2006,26.3
Caribbean,2005,26
Caribbean,2004,25.8
Caribbean,2003,25.6
Caribbean,2002,25.3
Caribbean,2001,25.1
Caribbean,2000,24.9
Caribbean,1999,24.7
