Region,Year,PIN,Category
Africa,2007,117,agriculture
Africa,2006,122,agriculture
Africa,2005,117,agriculture
Africa,2004,113,agriculture
Africa,2003,110,agriculture
Africa,2002,105,agriculture
Africa,2001,101,agriculture
Africa,2000,99,agriculture
Africa,1999,98,agriculture
Africa,1998,95,agriculture
Africa,1997,91,agriculture
Africa,1996,91,agriculture
Africa,1995,83,agriculture
Africa,1994,82,agriculture
Africa,1993,80,agriculture
Africa,1992,78,agriculture
Africa,1991,78,agriculture
Africa,1990,73,agriculture
Africa,1989,71,agriculture
Africa,1988,68,agriculture
Africa,1987,65,agriculture
Africa,1986,64,agriculture
Africa,1985,62,agriculture
Africa,1984,57,agriculture
Africa,1983,57,agriculture
Africa,1982,57,agriculture
Africa,1981,57,agriculture
Africa,1980,55,agriculture
Africa,1979,54,agriculture
Africa,1978,53,agriculture
Africa,1977,52,agriculture
Africa,1976,52,agriculture
Africa,1975,53,agriculture
Africa,1974,52,agriculture
Africa,1973,49,agriculture
Africa,1972,49,agriculture
Africa,1971,49,agriculture
Africa,1970,48,agriculture
Africa,1969,47,agriculture
Africa,1968,45,agriculture
Africa,1967,43,agriculture
Africa,1966,41,agriculture
Africa,1965,41,agriculture
Africa,1964,40,agriculture
Africa,1963,39,agriculture
Africa,1962,38,agriculture
Africa,1961,36,agriculture
Americas,2007,115,agriculture
Americas,2006,111,agriculture
Americas,2005,112,agriculture
Americas,2004,111,agriculture
Americas,2003,105,agriculture
Americas,2002,101,agriculture
Americas,2001,100,agriculture
Americas,2000,100,agriculture
Americas,1999,98,agriculture
Americas,1998,95,agriculture
Americas,1997,93,agriculture
Americas,1996,91,agriculture
Americas,1995,87,agriculture
Americas,1994,89,agriculture
Americas,1993,81,agriculture
Americas,1992,84,agriculture
Americas,1991,79,agriculture
Americas,1990,79,agriculture
Americas,1989,76,agriculture
Americas,1988,72,agriculture
Americas,1987,74,agriculture
Americas,1986,73,agriculture
Americas,1985,75,agriculture
Americas,1984,71,agriculture
