Region,Year,PIN
Afghanistan,2007,75
Afghanistan,2006,79
Afghanistan,2005,83
Afghanistan,2004,81
Afghanistan,2003,77
Afghanistan,2002,77
Afghanistan,2001,90
Afghanistan,2000,96
Afghanistan,1999,112
Afghanistan,1998,99
Afghanistan,1997,104
Afghanistan,1996,101
Afghanistan,1995,96
Afghanistan,1994,96
Afghanistan,1993,96
Afghanistan,1992,96
Afghanistan,1991,96
Afghanistan,1990,66
Afghanistan,1989,72
Afghanistan,1988,81
Afghanistan,1987,74
Afghanistan,1986,83
Afghanistan,1985,96
Afghanistan,1984,106
Afghanistan,1983,99
Afghanistan,1982,103
Afghanistan,1981,114
Afghanistan,1980,118
Afghanistan,1979,149
Afghanistan,1978,170
Afghanistan,1977,181
Afghanistan,1976,201
Afghanistan,1975,197
Afghanistan,1974,178
Afghanistan,1973,144
Afghanistan,1972,94
Afghanistan,1971,118
Afghanistan,1970,135
Afghanistan,1969,152
Afghanistan,1968,135
Afghanistan,1967,129
Afghanistan,1966,122
Afghanistan,1965,131
Afghanistan,1964,132
Afghanistan,1963,155
Afghanistan,1962,129
Afghanistan,1961,108
Albania,2007,68
Albania,2006,82
Albania,2005,90
Albania,2004,90
Albania,2003,88
Albania,2002,78
Albania,2001,84
Albania,2000,105
Albania,1999,109
Albania,1998,128
Albania,1997,124
Albania,1996,110
Albania,1995,119
Albania,1994,115
Albania,1993,191
Albania,1992,179
Albania,1991,119
Albania,1990,194
Albania,1989,212
Albania,1988,163
Albania,1987,275
Albania,1986,272
Albania,1985,241
Albania,1984,217
Albania,1983,204
Albania,1982,216
Albania,1981,217
Albania,1980,209
Albania,1979,232
Albania,1978,185
Albania,1977,175
Albania,1976,171
Albania,1975,178
Albania,1974,176
Albania,1973,185
Albania,1972,169
Albania,1971,152
Albania,1970,153
Albania,1969,138
Albania,1968,128
Albania,1967,178
Albania,1966,190
Albania,1965,186
Albania,1964,178
Albania,1963,198
Albania,1962,142
Albania,1961,83
Algeria,2007,119
Algeria,2006,110
Algeria,2005,128
Algeria,2004,112
Algeria,2003,103
Algeria,2002,104
Algeria,2001,105
Algeria,2000,101
Algeria,1999,92
Algeria,1998,114
Algeria,1997,114
Algeria,1996,105
Algeria,1995,107
Algeria,1994,111
Algeria,1993,125
Algeria,1992,122
Algeria,1991,110
Algeria,1990,115
Algeria,1989,114
Algeria,1988,114
Algeria,1987,119
Algeria,1986,116
Algeria,1985,117
Algeria,1984,127
Algeria,1983,113
Algeria,1982,107
Algeria,1981,103
Algeria,1980,96
Algeria,1979,88
Algeria,1978,85
Algeria,1977,78
Algeria,1976,75
Algeria,1975,81
Algeria,1974,74
Algeria,1973,74
Algeria,1972,76
Algeria,1971,76
Algeria,1970,67
Algeria,1969,80
Algeria,1968,80
Algeria,1967,70
Algeria,1966,64
Algeria,1965,50
Algeria,1964,69
Algeria,1963,58
Algeria,1962,48
Algeria,1961,35
American Samoa,2007,100
American Samoa,2006,100
American Samoa,2005,100
American Samoa,2004,100
American Samoa,2003,100
American Samoa,2002,100
American Samoa,2001,100
American Samoa,2000,100
American Samoa,1999,100
American Samoa,1998,100
American Samoa,1997,100
American Samoa,1996,100
American Samoa,1995,100
American Samoa,1994,100
American Samoa,1993,100
American Samoa,1992,100
American Samoa,1991,100
American Samoa,1990,100
American Samoa,1989,0
American Samoa,1988,0
American Samoa,1987,0
American Samoa,1986,0
American Samoa,1985,0
American Samoa,1984,100
American Samoa,1983,100
American Samoa,1982,100
American Samoa,1981,100
American Samoa,1980,100
American Samoa,1979,200
American Samoa,1978,200
American Samoa,1977,200
American Samoa,1976,300
American Samoa,1975,300
American Samoa,1974,300
American Samoa,1973,400
American Samoa,1972,400
American Samoa,1971,400
American Samoa,1970,400
American Samoa,1969,400
American Samoa,1968,400
American Samoa,1967,400
American Samoa,1966,400
American Samoa,1965,400
American Samoa,1964,400
American Samoa,1963,400
American Samoa,1962,200
American Samoa,1961,200
Angola,2007,70
Angola,2006,70
Angola,2005,69
Angola,2004,69
Angola,2003,70
Angola,2002,66
Angola,2001,77
Angola,2000,114
Angola,1999,108
Angola,1998,115
Angola,1997,115
Angola,1996,109
Angola,1995,111
Angola,1994,106
Angola,1993,120
Angola,1992,111
Angola,1991,122
Angola,1990,122
Angola,1989,148
Angola,1988,165
Angola,1987,141
Angola,1986,161
Angola,1985,146
Angola,1984,162
Angola,1983,152
Angola,1982,175
Angola,1981,173
Angola,1980,283
Angola,1979,251
Angola,1978,350
Angola,1977,462
Angola,1976,518
Angola,1975,1166
Angola,1974,1559
Angola,1973,1403
Angola,1972,1418
Angola,1971,1542
Angola,1970,1427
Angola,1969,1422
Angola,1968,1296
Angola,1967,1426
Angola,1966,1359
Angola,1965,1229
Angola,1964,1137
Angola,1963,976
Angola,1962,1074
Angola,1961,962
Antigua and Barbuda,2007,117
Antigua and Barbuda,2006,117
Antigua and Barbuda,2005,117
Antigua and Barbuda,2004,117
Antigua and Barbuda,2003,117
Antigua and Barbuda,2002,109
Antigua and Barbuda,2001,104
Antigua and Barbuda,2000,97
Antigua and Barbuda,1999,97
Antigua and Barbuda,1998,97
Antigua and Barbuda,1997,97
Antigua and Barbuda,1996,97
Antigua and Barbuda,1995,97
Antigua and Barbuda,1994,133
Antigua and Barbuda,1993,133
Antigua and Barbuda,1992,133
Antigua and Barbuda,1991,125
Antigua and Barbuda,1990,156
Antigua and Barbuda,1989,156
Antigua and Barbuda,1988,195
Antigua and Barbuda,1987,215
Antigua and Barbuda,1986,215
Antigua and Barbuda,1985,281
Antigua and Barbuda,1984,78
Antigua and Barbuda,1983,19
Antigua and Barbuda,1982,15
Antigua and Barbuda,1981,23
Antigua and Barbuda,1980,62
Antigua and Barbuda,1979,195
Antigua and Barbuda,1978,309
Antigua and Barbuda,1977,293
Antigua and Barbuda,1976,325
Antigua and Barbuda,1975,372
Antigua and Barbuda,1974,274
Antigua and Barbuda,1973,458
Antigua and Barbuda,1972,352
Antigua and Barbuda,1971,274
Antigua and Barbuda,1970,254
Antigua and Barbuda,1969,215
Antigua and Barbuda,1968,207
Antigua and Barbuda,1967,321
Antigua and Barbuda,1966,391
Antigua and Barbuda,1965,195
Antigua and Barbuda,1964,176
Antigua and Barbuda,1963,274
Antigua and Barbuda,1962,332
Antigua and Barbuda,1961,497
Argentina,2007,113
Argentina,2006,112
Argentina,2005,114
Argentina,2004,89
Argentina,2003,81
Argentina,2002,81
Argentina,2001,95
Argentina,2000,94
Argentina,1999,109
Argentina,1998,137
Argentina,1997,136
Argentina,1996,162
Argentina,1995,145
Argentina,1994,114
Argentina,1993,111
Argentina,1992,141
Argentina,1991,162
Argentina,1990,158
Argentina,1989,128
Argentina,1988,151
Argentina,1987,111
Argentina,1986,109
Argentina,1985,119
Argentina,1984,135
Argentina,1983,118
Argentina,1982,124
Argentina,1981,104
Argentina,1980,130
Argentina,1979,130
Argentina,1978,151
Argentina,1977,142
Argentina,1976,121
Argentina,1975,132
Argentina,1974,116
Argentina,1973,110
Argentina,1972,102
Argentina,1971,114
Argentina,1970,132
Argentina,1969,113
Argentina,1968,106
Argentina,1967,114
Argentina,1966,117
Argentina,1965,130
Argentina,1964,120
Argentina,1963,130
Argentina,1962,117
Argentina,1961,120
Armenia,2007,35
Armenia,2006,31
Armenia,2005,41
Armenia,2004,53
Armenia,2003,55
Armenia,2002,90
Armenia,2001,85
Armenia,2000,140
Armenia,1999,74
Armenia,1998,33
Armenia,1997,30
Armenia,1996,31
Armenia,1995,38
Armenia,1994,50
Armenia,1993,82
Armenia,1992,83
Australia,2007,52
Australia,2006,75
Australia,2005,81
Australia,2004,60
Australia,2003,66
Australia,2002,90
Australia,2001,102
Australia,2000,98
Australia,1999,98
Australia,1998,95
Australia,1997,94
Australia,1996,79
Australia,1995,79
Australia,1994,86
Australia,1993,92
Australia,1992,101
Australia,1991,109
Australia,1990,102
Australia,1989,91
Australia,1988,86
Australia,1987,81
Australia,1986,79
Australia,1985,77
Australia,1984,64
Australia,1983,59
Australia,1982,62
Australia,1981,59
Australia,1980,59
Australia,1979,57
Australia,1978,54
Australia,1977,55
Australia,1976,58
Australia,1975,62
Australia,1974,55
Australia,1973,57
Australia,1972,69
Australia,1971,68
Australia,1970,71
Australia,1969,69
Australia,1968,62
Australia,1967,61
Australia,1966,58
Australia,1965,61
Australia,1964,61
Australia,1963,57
Australia,1962,58
Australia,1961,56
Austria,2007,241
Austria,2006,345
Austria,2005,348
Austria,2004,360
Austria,2003,357
Austria,2002,100
Austria,2001,100
Austria,2000,100
Austria,1999,99
Austria,1998,99
Austria,1997,97
Austria,1996,97
Austria,1995,117
Austria,1994,115
Austria,1993,120
Austria,1992,112
Austria,1991,111
Austria,1990,124
Austria,1989,124
Austria,1988,133
Austria,1987,130
Austria,1986,131
Austria,1985,127
Austria,1984,126
Austria,1983,120
Austria,1982,115
Austria,1981,119
Austria,1980,119
Austria,1979,101
Austria,1978,104
Austria,1977,128
Austria,1976,126
Austria,1975,98
Austria,1974,115
